id,name,manufacturer,manufacturerCountryCode,seasonYear,era,overall,power,torqueDelivery,drivability,fuelEfficiency,energyRecovery,weightEfficiency,reliability,coolingDemand,qualifyingMode,racePaceSustainability,compatibleEras,notes,confidence_level,budgetCost
engine-honda-ra005e-2005,Honda RA005E 3.0 V10 2005,Honda,JP,2005,v10,93,96,93,91,88,50,92,88,84,95,90,"[""v10""]","Forte em potência, mas menos completo e menos confiável que os melhores V10.",high,125
engine-mercedes-fo110r-2005,Mercedes FO110R 3.0 V10 2005,Mercedes,DE,2005,00s,92,99,95,92,85,50,95,72,82,99,88,"""[\""00s\""]""","Incredibly fast but very fragile, costing Raikkonen the 2005 title.",high,135
engine-renault-rs25-2005,Renault RS25 3.0 V10 2005,Renault,FR,2005,00s,95,92,93,96,90,50,95,96,91,91,96,"""[\""00s\""]""","Famous for its drivability and traction, masking a top speed deficit.",high,145
engine-toyota-rvx-05-2005,Toyota RVX-05 3.0 V10 2005,Toyota,JP,2005,v10,93,95,92,91,88,50,92,92,87,94,91,"[""v10""]",,high,125
engine-renault-rs26-2006,Renault RS26 2.4 V8 2006,Renault,FR,2006,00s,95,93,93,96,90,50,95,96,91,93,96,"""[\""00s\""]""","First of the V8s, powered Alonso's second title.",high,146
engine-ferrari-056-2007,Ferrari 056 2.4 V8 2007,Ferrari,IT,2007,00s,96,96,94,94,85,50,95,95,90,96,95,"""[\""00s\""]""",Powered Kimi to the 2007 title.,high,154
engine-mercedes-fo108v-2008,Mercedes FO108V 2.4 V8 2008,Mercedes,DE,2008,00s,97,96,94,94,90,50,95,96,90,95,95,"""[\""00s\""]""","The benchmark V8 engine, later frozen for the V8 era.",high,158
engine-mercedes-fo108w-2009,Mercedes FO108W 2.4 V8 2009,Mercedes,DE,2009,00s,98,97,94,94,95,50,95,97,90,96,96,"""[\""00s\"",\""10s\""]""",Powered Brawn GP. Widely considered the best V8.,high,162
engine-renault-rs27-2011,Renault RS27 2.4 V8 2011,Renault,FR,2011,10s,96,89,92,95,98,50,98,95,88,92,95,"""[\""10s\""]""",Perfectly optimized for exhaust blowing.,high,147
engine-renault-rs27-2013,Renault RS27 2.4 V8 2013,Renault,FR,2013,10s,97,90,92,95,95,50,98,96,88,93,96,"""[\""10s\""]""",The peak of off-throttle exhaust blowing.,high,150
engine-mercedes-pu106a-2014,Mercedes PU106A Hybrid 2014,Mercedes,DE,2014,10s,99,100,97,95,95,99,90,95,90,99,98,"""[\""10s\""]""",The most dominant engine relative to the field in modern history.,high,180
engine-mercedes-m11-2020,Mercedes M11 EQ Performance 2020,Mercedes,DE,2020,20s,99,99,98,97,95,98,95,98,92,99,99,"""[\""20s\""]""",The ultimate evolution of the Mercedes hybrid.,high,180
engine-honda-ra621h-2021,Honda RA621H 1.6 V6 Turbo Hybrid 2021,Honda,JP,2021,20s,97,97,96,95,95,98,98,94,88,95,96,"""[\""20s\""]""",The engine that finally fought Mercedes on equal terms.,high,160
engine-ferrari-066-7-2022,Ferrari 066/7 1.6 V6 Turbo Hybrid 2022,Ferrari,IT,2022,20s,96,99,96,93,90,95,90,78,82,99,88,"""[\""20s\""]""",Incredibly fast but structurally flawed in its first year.,high,150
engine-rbpt-h001-2022,RBPT / Honda H001 1.6 V6 t,Honda,JP,2022,20s,98,98,95,95,95,98,95,95,85,95,98,"""[\""20s\""]""",Powered the start of the Red Bull ground effect dominance.,high,167
engine-honda-rbpt-2023,Honda RBPT 1.6 V6 Turbo Hybrid 2023,Honda,JP,2023,20s,99,98,97,96,98,99,95,98,91,96,98,"""[\""20s\""]""",The benchmark of the current era in race trim.,high,174
engine-mercedes-m15-2024,Mercedes M15 1.6 V6 Turbo Hybrid 2024,Mercedes,DE,2024,20s,97,95,94,94,95,95,95,94,88,94,94,"""[\""20s\""]""",Powered the McLaren MCL38 resurgence.,medium,150
